name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Michael Sean James Nicholson,shooting,ZIM,male,09/11/1973,42.8,1.82,105
Simon Martirosyan,weightlifting,ARM,male,17/02/1997,19.5,1.81,105
Gaber Mohamed,weightlifting,EGY,male,01/09/1985,30.9,1.8,105
Mohammadreza Barari,weightlifting,IRI,male,31/03/1988,28.4,1.8,105
Alexandr Zaichikov,weightlifting,KAZ,male,17/08/1992,24,1.8,105
Arkadiusz Michalski,weightlifting,POL,male,07/01/1990,26.6,1.8,105
Yang Gao,athletics,CHN,female,01/03/1993,23.4,1.78,105
Giorgi Chkheidze,weightlifting,GEO,male,30/10/1997,18.8,1.78,105
Balazs Kiss,wrestling,HUN,male,27/01/1983,33.5,1.78,105
Lijiao Gong,athletics,CHN,female,24/01/1989,27.5,1.75,105
Zheng Wang,athletics,CHN,female,14/12/1987,28.7,1.75,105
Jurgen Spiess,weightlifting,GER,male,26/03/1984,32.4,1.75,105
David Katoatau,weightlifting,KIR,male,17/07/1984,32.1,1.7,105
Khaled Almudhaf,shooting,IOA,male,12/06/1978,38.2,1.63,105
Christiaan Varenhorst,volleyball,NED,male,06/05/1990,26.3,2.11,104
Stefan Bircevic,basketball,SRB,male,13/12/1989,26.7,2.1,104
Marcus Vinicius Marquinhos,basketball,BRA,male,31/05/1984,32.2,2.07,104
McQuin Baron,aquatics,USA,male,27/10/1995,20.8,2.06,104
Kevin Durant,basketball,USA,male,29/09/1988,27.9,2.05,104
Tim Schrijver,rowing,CAN,male,07/02/1992,24.5,2.03,104
Anton Braun,rowing,GER,male,28/04/1990,26.3,2.02,104
Miguel Ruiz,basketball,VEN,male,20/12/1990,25.6,2.02,104
Stanislau Shcharbachenia,rowing,BLR,male,05/03/1985,31.4,2.01,104
Draymond Green,basketball,USA,male,04/03/1990,26.4,2,104
Sam Crouser,athletics,USA,male,31/12/1991,24.6,1.99,104
Thiagus dos Santos,handball,BRA,male,25/01/1989,27.5,1.98,104
Tonu Endrekson,rowing,EST,male,11/06/1979,37.2,1.98,104
Haniel Langaro,handball,BRA,male,07/03/1995,21.4,1.97,104
Charles Kahudi,basketball,FRA,male,19/07/1986,30.1,1.97,104
Tobias Karlsson,handball,SWE,male,04/06/1981,35.2,1.96,104
Leonardo Santos,handball,BRA,male,30/05/1994,22.2,1.94,104
Nikola Karabatic,handball,FRA,male,11/04/1984,32.3,1.94,104
Lukasz Gierak,handball,POL,male,22/06/1988,28.1,1.94,104
Garrett Bender,rugby sevens,USA,male,02/12/1991,24.7,1.94,104
Tim Agaba,rugby sevens,RSA,male,23/07/1989,27.1,1.93,104
Omar Hassan,volleyball,EGY,male,04/04/1991,25.4,1.91,104
Fedrick Dacres,athletics,JAM,male,28/02/1994,22.4,1.91,104
Isabelle Yacoubou,basketball,FRA,female,21/04/1986,30.3,1.9,104
Andrew Amonde,rugby sevens,KEN,male,25/12/1983,32.6,1.9,104
Jesse Parahi,rugby sevens,AUS,male,29/07/1989,27,1.89,104
Mateus Filipe Gregorio Machado,weightlifting,BRA,male,05/07/1993,23.1,1.85,104
Paulina Guba,athletics,POL,female,14/05/1991,25.2,1.83,104
Melissa Seidemann,aquatics,USA,female,26/06/1990,26.1,1.83,104
Bartlomiej Wojciech Bonk,weightlifting,POL,male,11/10/1984,31.8,1.81,104
Salwan Jasim Abbood Abbood,weightlifting,IRQ,male,26/09/1991,24.9,1.8,104
Arturs Plesnieks,weightlifting,LAT,male,21/01/1992,24.6,1.8,104
Sargis Martirosjan,weightlifting,AUT,male,14/09/1986,29.9,1.79,104
Tuvshinbayar Naidan,judo,MGL,male,01/06/1984,32.2,1.78,104
Hernan Moises Viera Espinoza,weightlifting,PER,male,16/01/1993,23.6,1.76,104
Evandro M. Guerra,volleyball,BRA,male,27/12/1981,34.6,2.07,103
Hendrik Pekeler,handball,GER,male,02/07/1991,25.1,2.03,103
Maxim Mikhaylov,volleyball,RUS,male,19/03/1988,28.4,2.02,103
Florent Pietrus,basketball,FRA,male,19/01/1981,35.6,2.01,103
Stephen Kasprzyk,rowing,USA,male,14/02/1982,34.5,2.01,103
Bojan Bogdanovic,basketball,CRO,male,18/04/1989,27.3,2,103
Philip Stenmalm,handball,SWE,male,03/03/1992,24.4,2,103
Mariusz Jurkiewicz,handball,POL,male,03/02/1982,34.5,1.99,103
Mikalai Sharlap,rowing,BLR,male,30/03/1994,22.4,1.98,103
Inaki Villanueva,rugby sevens,ESP,male,10/02/1991,25.5,1.98,103
Jonas Maciulis,basketball,LTU,male,10/02/1985,31.5,1.98,103
Felipe da Costa E Silva,aquatics,BRA,male,08/08/1984,32,1.96,103
Michal Szpakowski,rowing,POL,male,23/04/1989,27.3,1.95,103
Ivan Krapic,aquatics,CRO,male,14/02/1989,27.5,1.94,103
Vid Poteko,handball,SLO,male,05/04/1991,25.4,1.94,103
Katerina Safrankova,athletics,CZE,female,08/06/1989,27.2,1.93,103
Dainis Upelnieks,shooting,LAT,male,01/10/1982,33.9,1.93,103
Sam Cross,rugby sevens,GBR,male,26/08/1992,24,1.91,103
Mikael Appelgren,handball,SWE,male,06/09/1989,26.9,1.91,103
Joel Swift,aquatics,AUS,male,14/06/1990,26.2,1.9,103
Rolands Strobinders,athletics,LAT,male,14/04/1992,24.3,1.9,103
D J Forbes,rugby sevens,NZL,male,15/12/1982,33.7,1.89,103
Johannes Vetter,athletics,GER,male,26/03/1993,23.4,1.88,103
Karl-Richard Frey,judo,GER,male,11/07/1991,25.1,1.88,103
Urban Lesjak,handball,SLO,male,24/08/1990,26,1.87,103
Christodoulos Kolomvos,aquatics,GRE,male,26/10/1988,27.8,1.86,103
Robert Baran,wrestling,POL,male,03/07/1992,24.1,1.86,103
Taryn Suttie,athletics,CAN,female,07/12/1990,25.7,1.83,103
David Andersen,basketball,AUS,male,23/06/1980,36.1,2.1,102
Alade Aminu,basketball,NGR,male,14/09/1987,28.9,2.1,102
Matteo Piano,volleyball,ITA,male,24/10/1990,25.8,2.08,102
Olaseni Lawal,basketball,NGR,male,08/10/1986,29.8,2.08,102
Peng Zhou,basketball,CHN,male,11/10/1989,26.8,2.06,102
John Edison Rodriguez,fencing,COL,male,24/01/1991,25.5,2.05,102
Alison Cerutti,volleyball,BRA,male,07/12/1985,30.7,2.03,102
Harrison Barnes,basketball,USA,male,30/05/1992,24.2,2.03,102
Nikola Kalinic,basketball,SRB,male,08/11/1991,24.8,2.02,102
Andres Nocioni,basketball,ARG,male,30/11/1979,36.7,2.01,102
Niklas Landin Jacobsen,handball,DEN,male,19/12/1988,27.6,2.01,102
Tone Wieten,rowing,NED,male,17/03/1994,22.4,2.01,102
Justin Duff,volleyball,CAN,male,10/05/1988,28.3,2,102
Antonin Rouzier,volleyball,FRA,male,18/08/1986,30,2,102
Felix Drahotta,rowing,GER,male,01/01/1989,27.6,2,102
Mahe Drysdale,rowing,NZL,male,19/11/1978,37.7,2,102
Sam Townsend,rowing,GBR,male,26/11/1985,30.7,1.99,102
Nathan Adrian,aquatics,USA,male,07/12/1988,27.7,1.99,102
Krystian Aranowski,rowing,POL,male,11/04/1988,28.3,1.98,102
Dzianis Mihal,rowing,BLR,male,05/10/1985,30.9,1.97,102
Henrik Mollgaard Jensen,handball,DEN,male,02/01/1985,31.6,1.97,102
Amine Bannour,handball,TUN,male,21/02/1990,26.5,1.96,102
Alex Bowen,aquatics,USA,male,04/09/1993,22.9,1.96,102
Tim Mikkelson,rugby sevens,NZL,male,13/08/1986,30,1.93,102
Alex Garcia,basketball,BRA,male,04/03/1980,36.4,1.92,102
Matteo Aicardi,aquatics,ITA,male,19/04/1986,30.3,1.92,102
Michael Alexandre Bodegas,aquatics,ITA,male,03/05/1987,29.3,1.92,102
Ives Alonso,aquatics,BRA,male,12/10/1980,35.8,1.91,102
Sergii Tokarnytskyi,canoe,KAZ,male,01/02/1993,23.5,1.88,102
Predrag JOKIC,aquatics,MNE,male,03/02/1983,33.5,1.88,102
Danny Barrett,rugby sevens,USA,male,23/03/1990,26.4,1.88,102
Kibwe Johnson,athletics,USA,male,17/07/1981,35.1,1.88,102
Carl Fredrik Stefan Schoen,wrestling,SWE,male,11/07/1987,29.1,1.87,102
Ryan Tyack,archery,AUS,male,02/06/1991,25.2,1.86,102
Jonas Hogh-Christensen,sailing,DEN,male,21/05/1981,35.2,1.86,102
Mohamed Ramah,shooting,MAR,male,02/01/1986,30.6,1.86,102
Mathieu Peisson,aquatics,FRA,male,29/09/1982,33.9,1.85,102
Mihail Anastasakis,athletics,GRE,male,03/12/1994,21.7,1.84,102
Leslie Copeland,athletics,FIJ,male,23/04/1988,28.3,1.83,102
Ardo Arusaar,wrestling,EST,male,24/06/1988,28.1,1.81,102
Khuderbulga Dorjkhand,wrestling,MGL,male,07/05/1992,24.3,1.81,102
Kyle Frederick Snyder,wrestling,USA,male,20/11/1995,20.7,1.81,102
Chinwe Okoro,athletics,NGR,female,20/06/1989,27.1,1.78,102
Konstantin Semenov,volleyball,RUS,male,09/06/1989,27.2,2.1,101
Renat Saidov,judo,RUS,male,27/09/1988,27.9,2.1,101
Lucas Saatkamp,volleyball,BRA,male,06/03/1986,30.4,2.09,101
Uros CUCKOVIC,aquatics,MNE,male,25/04/1990,26.3,1.99,101
Tom Ransley,rowing,GBR,male,06/09/1985,30.9,1.98,101
Marcel Hacker,rowing,GER,male,29/04/1977,39.3,1.96,101
Norbert Hosnyanszky,aquatics,HUN,male,04/03/1984,32.4,1.96,101
Filip Filipovic,aquatics,SRB,male,01/05/1987,29.3,1.96,101
Ihar Pashevich,rowing,BLR,male,08/12/1991,24.7,1.95,101
Robert Micael Gibson,rowing,CAN,male,02/02/1986,30.5,1.95,101
Earvin Ngapeth,volleyball,FRA,male,12/02/1991,25.5,1.94,101
Sam Dickson,rugby sevens,NZL,male,28/10/1989,26.8,1.93,101
Mehdi Marzouki,aquatics,FRA,male,26/05/1987,29.2,1.92,101
Tom Cusack,rugby sevens,AUS,male,01/03/1993,23.4,1.91,101
Hanna Skydan,athletics,AZE,female,14/05/1992,24.2,1.83,101
Anastasiia Lysenko,weightlifting,UKR,female,02/12/1995,20.7,1.76,101
Zhelin Wang,basketball,CHN,male,20/01/1994,22.6,2.14,100
Ekenechukwu Ibekwe,basketball,NGR,male,19/07/1985,31.1,2.1,100
Nikola Mirotic,basketball,ESP,male,11/02/1991,25.5,2.08,100
Paul Bennett,rowing,GBR,male,16/12/1988,27.7,2.07,100
Simone Buti,volleyball,ITA,male,19/09/1983,32.9,2.06,100
Conlin McCABE,rowing,CAN,male,20/08/1990,26,2.05,100
Stefano Tempesti,aquatics,ITA,male,09/06/1979,37.2,2.05,100
Guilherme Giovannoni,basketball,BRA,male,02/06/1980,36.2,2.04,100
Xiaochuan Zhai,basketball,CHN,male,24/03/1993,23.4,2.04,100
Ivan Zaytsev,volleyball,ITA,male,02/10/1988,27.9,2.04,100
Paolo Nicolai,volleyball,ITA,male,06/08/1988,28,2.04,100
Aurimas Adomavicius,rowing,LTU,male,23/09/1993,22.9,2.04,100
Mindaugas Kuzminskas,basketball,LTU,male,19/10/1989,26.8,2.04,100
Mario Hezonja,basketball,CRO,male,25/02/1995,21.5,2.03,100
Jonathan Moriame,aquatics,FRA,male,19/06/1984,32.2,2.03,100
Matthew Anderson,volleyball,USA,male,18/04/1987,29.3,2.02,100
Marko Bagaric,handball,QAT,male,31/12/1985,30.6,2.01,100
Branislav Mitrovic,aquatics,SRB,male,30/01/1985,31.5,2.01,100
Vadzim Lialin,rowing,BLR,male,15/11/1982,33.7,2,100
Petr Frydrych,athletics,CZE,male,13/01/1988,28.6,2,100
Deniss Karpak,sailing,EST,male,18/07/1986,30.1,2,100
Jose Martinez,volleyball,MEX,male,23/01/1993,23.5,2,100
Roel Braas,rowing,NED,male,11/03/1987,29.4,2,100
Jakub Podrazil,rowing,CZE,male,09/01/1992,24.6,1.99,100
Jesper Noddesbo,handball,DEN,male,23/10/1980,35.8,1.99,100
Domagoj Duvnjak,handball,CRO,male,01/06/1988,28.2,1.98,100
Ludovic Fabregas,handball,FRA,male,01/07/1996,20.1,1.98,100
Mathieu Grebille,handball,FRA,male,06/10/1991,24.8,1.98,100
Remi Saudadier,aquatics,FRA,male,20/03/1986,30.4,1.98,100
William Satch,rowing,GBR,male,09/06/1989,27.2,1.98,100
Simonas Bilis,aquatics,LTU,male,11/11/1993,22.7,1.98,100
Esra Ural,basketball,TUR,female,18/08/1991,25,1.98,100
Kai Langerfeld,rowing,CAN,male,05/07/1987,29.1,1.97,100
Ivan Sliskovic,handball,CRO,male,23/10/1991,24.8,1.97,100
Krunoslav Simon,basketball,CRO,male,24/06/1985,31.1,1.97,100
Yannick Borel,fencing,FRA,male,05/11/1988,27.8,1.97,100
Pete Reed,rowing,GBR,male,27/07/1981,35,1.97,100
Olivier Siegelaar,rowing,NED,male,24/10/1986,29.8,1.97,100
Martin Pacek,judo,SWE,male,28/04/1987,29.3,1.97,100
Slobodan Soro,aquatics,BRA,male,23/12/1978,37.6,1.96,100
Mahama Cho,taekwondo,GBR,male,16/08/1989,27,1.96,100
David Miklavcic,handball,SLO,male,29/01/1983,33.5,1.96,100
Aymen Hammed,handball,TUN,male,26/07/1983,33.1,1.96,100
Ivan Dovhodko,rowing,UKR,male,15/01/1989,27.6,1.96,100
Jonathan Lobert,sailing,FRA,male,30/04/1985,31.3,1.95,100
Romain Blary,aquatics,FRA,male,20/10/1985,30.8,1.95,100
Boudewijn Roell,rowing,NED,male,12/05/1989,27.3,1.95,100
Ameen Zakkar,handball,QAT,male,15/06/1994,22.2,1.95,100
Artem Morozov,rowing,UKR,male,29/02/1980,36.5,1.95,100
Agustin Vidal,handball,ARG,male,08/07/1987,29.1,1.94,100
Jonathan Laugel,rugby sevens,FRA,male,30/01/1993,23.5,1.94,100
Niklas Suele,football,GER,male,03/09/1995,20.9,1.94,100
Aaron Younger,aquatics,AUS,male,25/09/1991,24.9,1.93,100
Alexandre Camarasa,aquatics,FRA,male,10/06/1987,29.2,1.93,100
Eric Johannesen,rowing,GER,male,16/07/1988,28.1,1.93,100
Willie Ambaka,rugby sevens,KEN,male,14/05/1990,26.2,1.93,100
Scott Curry,rugby sevens,NZL,male,17/05/1988,28.2,1.93,100
Barnabe Delarze,rowing,SUI,male,30/06/1994,22.1,1.93,100
Henrique Teixeira,handball,BRA,male,27/02/1989,27.5,1.92,100
Petar Tomasevic,aquatics,FRA,male,02/01/1989,27.6,1.92,100
Lewis Ormond,rugby sevens,NZL,male,05/02/1994,22.5,1.92,100
Mohamed Jilani Maaref,handball,TUN,male,27/10/1991,24.8,1.92,100
John Ampomah,athletics,GHA,male,11/07/1990,26.1,1.91,100
Pita Nikolas Taufatofua,taekwondo,TGA,male,05/11/1983,32.8,1.91,100
Jhonattan Vegas,golf,VEN,male,19/08/1984,32,1.91,100
Mohammed Amine Tayeb,judo,ALG,male,28/09/1985,30.9,1.9,100
Gonzalo Carou,handball,ARG,male,15/08/1979,37,1.9,100
Georgii Ketoev,wrestling,ARM,male,19/11/1985,30.7,1.9,100
Toma Nikiforov,judo,BEL,male,25/01/1993,23.5,1.9,100
Jorge Y. Fernandez,athletics,CUB,male,02/10/1987,28.9,1.9,100
Karl Schulze,rowing,GER,male,05/03/1988,28.4,1.9,100
Jevgenijs Borodavko,judo,LAT,male,04/11/1986,29.8,1.9,100
Henk Grol,judo,NED,male,14/04/1985,31.3,1.9,100
Hussain Shah Shah,judo,PAK,male,08/06/1993,23.2,1.9,100
Hassan Mabrouk,handball,QAT,male,29/07/1982,34,1.9,100
Elis Guri,wrestling,BUL,male,06/07/1983,33.1,1.89,100
Jose Armenteros,judo,CUB,male,13/12/1992,23.7,1.89,100
Vincent Gerard,handball,FRA,male,16/12/1986,29.7,1.89,100
Elmar Gasimov,judo,AZE,male,02/11/1990,25.8,1.88,100
Ramadan Darwish,judo,EGY,male,29/01/1988,28.5,1.88,100
Javier Carrion,rugby sevens,ESP,male,09/11/1990,25.8,1.88,100
Andrey Yerguchyov,canoe,KAZ,male,23/04/1995,21.3,1.88,100
Albert Saritov,wrestling,ROU,male,08/07/1985,31.1,1.88,100
Braian Toledo,athletics,ARG,male,08/09/1993,22.9,1.87,100
Wagner Domingos,athletics,BRA,male,26/03/1983,33.4,1.87,100
Leyla Rajabi,athletics,IRI,female,18/04/1983,33.3,1.87,100
Artem Bloshenko,judo,UKR,male,01/02/1985,31.5,1.87,100
Javad Mahjoub,judo,IRI,male,26/05/1991,25.2,1.86,100
Giorgio Poggi,sailing,ITA,male,26/08/1981,35,1.86,100
Ryunosuke Haga,judo,JPN,male,28/04/1991,25.3,1.86,100
Ivan Remarenco,judo,UAE,male,07/08/1988,28,1.86,100
Pavlo Korostylov,shooting,UKR,male,05/11/1997,18.8,1.86,100
Soyib Kurbonov,judo,UZB,male,03/02/1988,28.5,1.86,100
Lyes Bouyacoub,judo,ALG,male,03/04/1983,33.4,1.85,100
di Xiao,wrestling,CHN,male,14/05/1991,25.2,1.85,100
Ari Mannio,athletics,FIN,male,23/07/1987,29.1,1.85,100
Benjamin Fletcher,judo,GBR,male,13/03/1992,24.4,1.85,100
Ghasem Gholamreza Rezaei,wrestling,IRI,male,18/08/1985,31,1.85,100
Yoshitaka Tokunaga,rugby sevens,JPN,male,10/04/1992,24.3,1.85,100
Diego del Real,athletics,MEX,male,06/03/1994,22.4,1.85,100
Rafael Buzacarini,judo,BRA,male,06/10/1991,24.8,1.83,100
Joao Costa,shooting,POR,male,28/10/1964,51.8,1.82,100
Tagir Khaibulaev,judo,RUS,male,24/07/1984,32.1,1.82,100
Karim Gharbi,judo,SMR,male,05/01/1992,24.6,1.82,100
Gregory Bauge,cycling,FRA,male,31/01/1985,31.5,1.81,100
Maxim Rakov,judo,KAZ,male,07/02/1986,30.5,1.81,100
Rocio Comba,athletics,ARG,female,14/07/1987,29.1,1.8,100
Xiaohan Mei,aquatics,CHN,female,11/11/1996,19.7,1.8,100
Daniel Brodmeier,shooting,GER,male,02/09/1987,28.9,1.8,100
Rashid Yunusmetov,shooting,KAZ,male,09/07/1979,37.1,1.8,100
Grigori Minaskin,judo,EST,male,01/02/1991,25.5,1.78,100
Guham Cho,judo,KOR,male,30/07/1992,24,1.78,100
Natalia Duco,athletics,CHI,female,31/01/1989,27.5,1.77,100
Jorge Fonseca,judo,POR,male,30/10/1992,23.8,1.75,100
Nwanneka Okwelogu,athletics,NGR,female,05/05/1995,21.3,1.73,100
Reza Mohammad Ali Yazdani,wrestling,IRI,male,25/08/1984,32,1.72,100
Sandra Lemos,athletics,COL,female,01/01/1989,27.6,1.7,100
Kuk Hyang Kim,weightlifting,PRK,female,20/04/1993,23.3,1.7,100
Naryury Alexandra Perez Reveron,weightlifting,VEN,female,29/09/1992,23.9,1.68,100
Luisa Fatiaki Taitapu Peters,weightlifting,COK,female,27/06/1993,23.1,1.65,100
Austin Hack,rowing,USA,male,17/05/1992,24.2,2.04,99
Paul George,basketball,USA,male,02/05/1990,26.3,2.03,99
Murphy Troy,volleyball,USA,male,31/05/1989,27.2,2.02,99
Demar DeRozan,basketball,USA,male,07/08/1989,27,2.01,99
Jimmy Butler,basketball,USA,male,14/09/1989,26.9,2.01,99
Mauricio Borges Almeida Silva,volleyball,BRA,male,04/02/1989,27.5,1.99,99
Florent Manaudou,aquatics,FRA,male,12/11/1990,25.7,1.99,99
Krzysztof Lijewski,handball,POL,male,07/07/1983,33.1,1.99,99
Andrey Grechin,aquatics,RUS,male,21/10/1987,28.8,1.99,99
Khalid Assar,table tennis,EGY,male,10/12/1992,23.7,1.98,99
Bertrand Roine,handball,QAT,male,17/02/1981,35.5,1.98,99
Bogdan Bogdanovic,basketball,SRB,male,18/08/1992,24,1.97,99
Max Mirnyi,tennis,BLR,male,06/07/1977,39.1,1.96,99
Josh Binstock,volleyball,CAN,male,12/01/1981,35.6,1.96,99
Sergio Reynaldo Gonzalez Bayard,volleyball,CUB,male,20/06/1990,26.1,1.95,99
Silvio Heinevetter,handball,GER,male,21/10/1984,31.8,1.94,99
Ben Pinkelman,rugby sevens,USA,male,13/06/1994,22.2,1.94,99
Richie Campbell,aquatics,AUS,male,18/09/1987,28.9,1.93,99
Mehdy Metella,aquatics,FRA,male,17/07/1992,24.1,1.91,99
Lote Tuqiri,rugby sevens,JPN,male,12/11/1987,28.8,1.89,99
Pieter-Jan Postma,sailing,NED,male,10/01/1982,34.6,1.89,99
Giordan Harris,aquatics,MHL,male,19/04/1993,23.3,1.85,99
Grzegorz Fijalek,volleyball,POL,male,11/05/1987,29.3,1.85,99
Kyle Reyes,judo,CAN,male,10/10/1993,22.8,1.83,99
Aimee Fisher,canoe,NZL,female,24/01/1995,21.5,1.83,99
Mohammad Tawfiq Bakhshi,judo,AFG,male,11/03/1986,30.4,1.81,99
Dominic Dugasse,judo,SEY,male,19/04/1985,31.3,1.8,99
Ahymara Espinoza,athletics,VEN,female,28/05/1985,31.2,1.8,99
Deanna Price,athletics,USA,female,08/06/1993,23.2,1.73,99
Mateusz Bieniek,volleyball,POL,male,05/04/1994,22.4,2.1,98
Kevin le Roux,volleyball,FRA,male,11/05/1989,27.3,2.09,98
Daniel Cornelius Jansen Vandoorn,volleyball,CAN,male,21/03/1990,26.4,2.07,98
Abdoulrazak Issoufou Alfaga,taekwondo,NIG,male,26/12/1994,21.6,2.07,98
Aaron Russell,volleyball,USA,male,04/06/1993,23.2,2.05,98
Jake Lilley,sailing,AUS,male,20/07/1993,23.1,2.04,98
Elizabeth Cambage,basketball,AUS,female,18/08/1991,25,2.03,98
Luka Stepancic,handball,CRO,male,20/11/1990,25.7,2.03,98
Peter van Schie,rowing,NED,male,03/03/1988,28.4,2,98
Francesco Fossi,rowing,ITA,male,15/04/1988,28.3,1.99,98
Hamzeh Zarini,volleyball,IRI,male,18/10/1985,30.8,1.98,98
Filippo Lanza,volleyball,ITA,male,03/03/1991,25.4,1.98,98
Christopher Patrick Reid,aquatics,RSA,male,10/01/1996,20.6,1.98,98
Matti Mattsson,aquatics,FIN,male,05/10/1993,22.8,1.97,98
Max Salminen,sailing,SWE,male,22/09/1988,27.9,1.97,98
Tyler Martin,aquatics,AUS,male,28/06/1990,26.1,1.96,98
Mikkel Hansen,handball,DEN,male,22/10/1987,28.8,1.96,98
Aleksandrs Samoilovs,volleyball,LAT,male,06/04/1985,31.4,1.96,98
Ryan Pini,aquatics,PNG,male,10/12/1981,34.7,1.96,98
Nikita Morgachev,rowing,RUS,male,03/05/1981,35.3,1.96,98
Matthew Miller,rowing,USA,male,13/01/1989,27.6,1.96,98
Frederic Winters,volleyball,CAN,male,25/09/1982,33.9,1.95,98
Hongpin Huang,basketball,CHN,female,23/04/1989,27.3,1.95,98
Jasa Veremalua,rugby sevens,FIJ,male,29/05/1988,28.2,1.95,98
James-Andrew Davis,fencing,GBR,male,03/07/1991,25.1,1.95,98
Lauritz Schoof,rowing,GER,male,07/10/1990,25.8,1.95,98
Maximilian Reinelt,rowing,GER,male,24/08/1988,28,1.95,98
Eric Murray,rowing,NZL,male,06/05/1982,34.3,1.95,98
Johan Jakobsson,handball,SWE,male,12/02/1987,29.5,1.95,98
Joshua Dunkley-Smith,rowing,AUS,male,28/06/1989,27.1,1.94,98
Augustin Maillefer,rowing,SUI,male,29/04/1993,23.3,1.94,98
Mohamed Soussi,handball,TUN,male,17/01/1993,23.6,1.94,98
Dovydas Nemeravicius,rowing,LTU,male,11/12/1996,19.7,1.93,98
Antonio PETROVIC,aquatics,MNE,male,24/09/1982,33.9,1.93,98
Sava Randelovic,aquatics,SRB,male,17/07/1993,23.1,1.93,98
Saul Craviotto,canoe,ESP,male,03/11/1984,31.8,1.92,98
Apisai Domolailai,rugby sevens,FIJ,male,16/04/1989,27.3,1.92,98
Semi Kunatani,rugby sevens,FIJ,male,27/10/1990,25.8,1.92,98
Thibaut Simon,aquatics,FRA,male,18/12/1983,32.7,1.92,98
Julia Fischer,athletics,GER,female,01/04/1990,26.4,1.92,98
Mikolaj Burda,rowing,POL,male,08/07/1982,34.1,1.92,98
Luciano de Cecco,volleyball,ARG,male,02/06/1988,28.2,1.91,98
Julian Weber,athletics,GER,male,29/08/1994,22,1.91,98
Pietro Figlioli,aquatics,ITA,male,29/05/1984,32.2,1.91,98
Aleksandar RADOVIC,aquatics,MNE,male,24/02/1987,29.5,1.91,98
Alican Kaynar,sailing,TUR,male,30/10/1988,27.8,1.91,98
Artur Aleksanyan,wrestling,ARM,male,21/10/1991,24.8,1.9,98
Yasmany Daniel Lugo Cabrera,wrestling,CUB,male,24/01/1990,26.5,1.9,98
Rocco van Rooyen,athletics,RSA,male,23/12/1992,23.6,1.9,98
Uros Zorman,handball,SLO,male,09/01/1980,36.6,1.9,98
Dimitriy Timchenko,wrestling,UKR,male,01/04/1983,33.4,1.9,98
Vasilij Zbogar,sailing,SLO,male,04/10/1975,40.9,1.89,98
Cesar Augusto Almeida,handball,BRA,male,06/01/1989,27.6,1.88,98
Yusaku Kuwazuru,rugby sevens,JPN,male,23/10/1985,30.8,1.88,98
Oleg Zhestkov,canoe,RUS,male,20/01/1987,29.6,1.88,98
Makrem Missaoui,handball,TUN,male,14/02/1981,35.5,1.88,98
Paula Leiton Arrones,aquatics,ESP,female,27/04/2000,16.3,1.87,98
Stuart Farquhar,athletics,NZL,male,15/03/1982,34.4,1.87,98
Tsimafei Dzeinichenka,wrestling,BLR,male,05/11/1986,29.8,1.86,98
Mariano Canepa,handball,ARG,male,07/05/1987,29.3,1.85,98
Hamish Peacock,athletics,AUS,male,15/10/1990,25.8,1.85,98
Paul Adams,shooting,AUS,male,04/06/1992,24.2,1.85,98
Dennis Ombachi,rugby sevens,KEN,male,14/12/1994,21.7,1.85,98
Islam Magomedov,wrestling,RUS,male,08/02/1991,25.5,1.82,98
James Davies,rugby sevens,GBR,male,25/10/1990,25.8,1.81,98
Daigoro Timoncini,wrestling,ITA,male,13/12/1985,30.7,1.8,98
Naing Soe Yan,judo,MYA,male,31/01/1979,37.5,1.8,98
Cenk Ildem,wrestling,TUR,male,05/01/1986,30.6,1.8,98
Ryan Fox,golf,NZL,male,22/01/1987,29.6,1.79,98
Marco Galiazzo,archery,ITA,male,07/05/1983,33.3,1.78,98
Revazi Nadareishvili,wrestling,GEO,male,21/06/1991,25.1,1.76,98
Teresa Patricia Almeida,handball,ANG,female,05/04/1988,28.4,1.7,98
Daina Levy,athletics,JAM,female,27/05/1993,23.2,1.65,98
Hardeep Hardeep,wrestling,IND,male,20/12/1990,25.6,1.63,98
Jose Luis Gonzalez,volleyball,ARG,male,27/12/1984,31.6,2.06,97
Graham Vigrass,volleyball,CAN,male,17/06/1989,27.2,2.05,97
Hossam Abdalla,volleyball,EGY,male,16/02/1988,28.5,2.03,97
Jonathan Wright,rowing,NZL,male,14/03/1992,24.4,2.01,97
George Bridgewater,rowing,NZL,male,18/01/1983,33.6,2,97
Klay Thompson,basketball,USA,male,08/02/1990,26.5,2,97
Markus Bockermann,volleyball,GER,male,14/01/1986,30.6,1.99,97
Steffen Fath,handball,GER,male,04/04/1990,26.4,1.99,97
Seth Weil,rowing,USA,male,09/03/1987,29.4,1.99,97
Juan Martin Del Potro,tennis,ARG,male,23/09/1988,27.9,1.98,97
Alex Gregory,rowing,GBR,male,11/03/1984,32.4,1.98,97
Kristian Vasilev,rowing,BUL,male,18/11/1991,24.7,1.97,97
